AttributeX,AttributeY,AttributeZ,AttributeT,Class,Class,Class,Class
-0.077595,-0.704345,-0.708065,1.001675,1,2,3,4
-0.07292,-0.69695,-0.7312,1.012835,1,2,3,4
-0.065985,-0.683855,-0.679135,0.966535,1,2,3,4
-0.103615,-0.6699,-0.71544,0.98627,1,2,3,4
-0.051255,-0.75781,-0.709245,1.039435,1,2,3,4
-0.04615,-0.72142,-0.702865,1.008355,1,2,3,4
-0.05905,-0.681235,-0.700445,0.979015,1,2,3,4
-0.051845,-0.71604,-0.693205,0.99822,1,2,3,4
-0.04737,-0.732265,-0.678005,1.00006,1,2,3,4
-0.0451,-0.7107,-0.69704,0.997205,1,2,3,4
-0.032265,-0.73792,-0.66871,0.996485,1,2,3,4
-0.02442,-0.72277,-0.685015,0.99629,1,2,3,4
-0.02775,-0.728545,-0.67774,0.99641,1,2,3,4
-0.031575,-0.713385,-0.692085,0.99449,1,2,3,4
-0.027445,-0.703495,-0.702755,0.99486,1,2,3,4
-0.025455,-0.70421,-0.701945,0.99466,1,2,3,4
-0.02236,-0.70417,-0.701775,0.99439,1,2,3,4
-0.01507,-0.71086,-0.69602,0.995105,1,2,3,4
-0.044255,-0.703305,-0.70205,0.99529,1,2,3,4
-0.069695,-0.69258,-0.70975,0.994245,1,2,3,4
-0.099815,-0.677985,-0.720175,0.99426,1,2,3,4
-0.078625,-0.680215,-0.72081,0.994305,1,2,3,4
-0.057915,-0.69473,-0.70982,0.994985,1,2,3,4
-0.05743,-0.69248,-0.71173,0.994735,1,2,3,4
-0.057215,-0.691025,-0.713135,0.9947,1,2,3,4
-0.06255,-0.690305,-0.713125,0.99459,1,2,3,4
-0.05799,-0.687305,-0.717695,0.99546,1,2,3,4
-0.059145,-0.68598,-0.71781,0.99475,1,2,3,4
-0.053425,-0.6868,-0.717645,0.99484,1,2,3,4
-0.05265,-0.68364,-0.72046,0.994665,1,2,3,4
-0.052425,-0.688595,-0.716495,0.99518,1,2,3,4
-0.06391,-0.68236,-0.72045,0.99456,1,2,3,4
-0.05081,-0.694145,-0.71058,0.99468,1,2,3,4
-0.053355,-0.693285,-0.71105,0.994585,1,2,3,4
-0.05431,-0.689235,-0.71536,0.994845,1,2,3,4
-0.04895,-0.662765,-0.7403,0.99528,1,2,3,4
-0.040325,-0.606755,-0.79275,0.999235,1,2,3,4
-0.034865,-0.61464,-0.78629,0.998715,1,2,3,4
-0.03906,-0.61499,-0.78582,0.998695,1,2,3,4
-0.05247,-0.588505,-0.802645,0.997695,1,2,3,4
-0.046415,-0.59736,-0.799045,0.99911,1,2,3,4
-0.048735,-0.60561,-0.791225,0.99781,1,2,3,4
-0.038125,-0.60741,-0.79304,0.999795,1,2,3,4
-0.034265,-0.62293,-0.77669,0.996855,1,2,3,4
-0.04454,-0.68117,-0.72301,0.994575,1,2,3,4
-0.03425,-0.681365,-0.725515,0.996305,1,2,3,4
-0.02953,-0.68116,-0.725475,0.995755,1,2,3,4
-0.03565,-0.67694,-0.728995,0.995705,1,2,3,4
-0.058215,-0.676905,-0.725635,0.994265,1,2,3,4
-0.070815,-0.674415,-0.731265,0.997435,1,2,3,4
-0.10064,-0.66509,-0.74596,1.005045,1,2,3,4
-0.08456,-0.657515,-0.740635,0.994515,1,2,3,4
-0.06757,-0.660355,-0.742215,0.9959,1,2,3,4
-0.058805,-0.66316,-0.738475,0.99445,1,2,3,4
-0.064035,-0.660515,-0.738295,0.992895,1,2,3,4
-0.06346,-0.66334,-0.73526,0.99255,1,2,3,4
-0.06813,-0.71817,-0.68958,0.998925,1,2,3,4
-0.06069,-0.72115,-0.687445,0.998345,1,2,3,4
-0.06685,-0.718685,-0.690425,0.99897,1,2,3,4
-0.05886,-0.718315,-0.691375,0.99889,1,2,3,4
-0.06304,-0.721605,-0.687425,0.99873,1,2,3,4
