AttributeX,AttributeY,AttributeZ,AttributeT,Class,Class,Class,Class
0.89326775,0.4160685,-0.02911175,1.328025,3,6,9,0
0.91024925,0.35702575,0.01026725,1.3168225,3,6,9,0
0.90010075,0.32075975,0.16692775,1.30018,3,6,9,0
0.8809075,0.36791925,0.1323535,1.270305,3,6,9,0
0.87191075,0.3922365,0.06697625,1.2373025,3,6,9,0
0.8825165,0.45833225,-0.013889,1.3234275,3,6,9,0
0.9000745,0.3703045,0.02276575,1.254455,3,6,9,0
0.89581275,0.327978,0.16936575,1.2069325,3,6,9,0
0.872032,0.36826125,0.1776775,1.20837,3,6,9,0
0.85069325,0.43980225,0.113347,1.18385,3,6,9,0
0.8695795,0.47765325,-0.01765875,1.2357,3,6,9,0
0.84583275,0.42142625,0.03858825,1.102485,3,6,9,0
0.86536975,0.40116275,0.181189,1.1318275,3,6,9,0
0.8965,0.35459475,0.08519375,1.1491925,3,6,9,0
0.904191,0.37518475,-0.02164725,1.27014,3,6,9,0
0.89961275,0.3381865,0.08956425,1.18218,3,6,9,0
0.82242875,0.44072,-0.12321925,1.0774825,3,6,9,0
0.92359375,0.30050675,0.1997355,1.21056,3,6,9,0
0.91314375,0.33211375,0.07286425,1.19911,3,6,9,0
0.91021025,0.4257175,-0.05082525,1.2791075,3,6,9,0
0.876508,0.40056275,0.0960805,1.1323225,3,6,9,0
0.887869,0.41604225,-0.011258,1.1028525,3,6,9,0
0.88374875,0.39697075,0.03819425,1.170955,3,6,9,0
0.88895225,0.4433945,-0.04272075,1.181645,3,6,9,0
0.89080225,0.424531,-0.044767,1.2010375,3,6,9,0
0.91316075,0.36488475,0.02978025,1.1680175,3,6,9,0
0.8829485,0.39395325,0.12688425,1.18391,3,6,9,0
0.87251525,0.43033275,0.06900625,1.163775,3,6,9,0
0.854957,0.5021185,-0.07108525,1.2722525,3,6,9,0
0.8863535,0.4273075,0.05147425,1.226155,3,6,9,0
0.857663,0.43268675,0.118774,1.198565,3,6,9,0
0.86491575,0.4174535,0.113122,1.21104,3,6,9,0
0.87859525,0.42273725,0.052338,1.2166225,3,6,9,0
0.88799175,0.474486,-0.08295425,1.29948,3,6,9,0
0.88957875,0.40765025,0.069198,1.25954,3,6,9,0
0.9089585,0.3754125,0.10276625,1.31686,3,6,9,0
0.887765,0.40236125,0.1106975,1.2675975,3,6,9,0
0.9025585,0.382609,0.089373,1.3056075,3,6,9,0
0.884188,0.41042125,0.06649875,1.2409675,3,6,9,0
0.8859115,0.39808925,0.0708735,1.2289325,3,6,9,0
0.9265245,0.34992725,0.04723775,1.2514575,3,6,9,0
0.92358725,0.34981975,0.0463475,1.259375,3,6,9,0
0.9106255,0.38466875,0.02242225,1.24848,3,6,9,0
